symbol,period,balance_identity,gross_profit_decomposes,cf_sums_to_net,cf_internal_roll,total_liabilities_identity,net_income_parent_identity,issuance_nonneg
AQN,2020,True,True,True,True,True,True,True
ARM,2009,True,True,True,True,True,True,True
ARM,2010,True,True,True,True,True,True,True
ARM,2011,True,True,True,True,True,True,True
ARM,2012,True,True,True,True,True,True,True
ARM,2013,True,True,True,True,True,True,True
ARM,2014,True,True,True,True,True,True,True
ARM,2015,True,True,True,True,True,True,True
ARM,2016,True,True,True,True,True,True,True
ARM,2017,True,True,True,True,True,True,True
ARM,2018,True,True,True,True,True,True,True
ARM,2019,True,True,True,True,True,True,True
ARM,2020,True,True,True,True,True,True,True
ARM,2021,True,True,True,True,True,True,True
ARM,2022,True,True,True,True,True,True,True
ARM,2023,True,True,True,True,True,True,True
ARM,2024,True,True,True,True,True,True,True
ARM,2025,True,True,True,True,True,True,True
ASA,2010,True,True,True,True,True,True,True
ASA,2011,True,True,True,True,True,True,True
ASA,2012,True,True,True,True,True,True,True
ASA,2013,True,True,True,True,True,True,True
ASA,2014,True,True,True,True,True,True,True
ASA,2015,True,True,True,True,True,True,True
ASA,2016,True,True,True,True,True,True,True
ASA,2017,True,True,True,True,True,True,True
ASA,2018,True,True,True,True,True,True,True
ASA,2019,True,True,True,True,True,True,True
ASA,2020,True,True,True,True,True,True,True
ASD,2014,True,True,True,True,True,True,True
ASD,2015,True,True,True,True,True,True,True
ASD,2016,True,True,True,True,True,True,True
ASD,2017,True,True,True,True,True,True,True
ASD,2018,True,True,True,True,True,True,True
ASD,2019,True,True,True,True,True,True,True
ASD,2020,True,True,True,True,True,True,True
ASG,2017,True,True,True,True,True,True,True
ASG,2018,True,True,True,True,True,True,True
ASG,2019,True,True,True,True,True,True,True
ASG,2020,True,True,True,True,True,True,True
ASG,2021,True,True,True,True,True,True,True
ASG,2022,True,True,True,True,True,True,True
